job_title,company,location,skills,salary,experience,job_type,posted_date
Data Scientist,TCS,Chennai,"Python,Machine Learning,SQL,TensorFlow",1200000,2-4 years,Full-time,2026-02-10
AI Engineer,Infosys,Bangalore,"Python,Deep Learning,PyTorch,Computer Vision",1500000,3-5 years,Full-time,2026-02-12
Machine Learning Engineer,Wipro,Hyderabad,"Python,Scikit-learn,ML Ops,Docker",1400000,2-4 years,Full-time,2026-02-15
Data Analyst,Accenture,Chennai,"SQL,Power BI,Python,Excel",900000,1-3 years,Full-time,2026-02-18
AI Researcher,Google,Bangalore,"Deep Learning,NLP,Python,Transformers",2500000,4-6 years,Full-time,2026-02-20
NLP Engineer,Amazon,Hyderabad,"Python,NLP,BERT,TensorFlow",2000000,3-5 years,Full-time,2026-02-22
Computer Vision Engineer,Zoho,Chennai,"OpenCV,Deep Learning,Python,PyTorch",1600000,2-4 years,Full-time,2026-02-25
Data Engineer,IBM,Pune,"Python,SQL,Spark,Hadoop",1400000,2-4 years,Full-time,2026-02-27
AI Developer,HCL,Noida,"Python,Machine Learning,Flask,Docker",1300000,2-4 years,Full-time,2026-03-01
ML Engineer,Microsoft,Bangalore,"Python,Azure ML,Deep Learning,PyTorch",2200000,4-6 years,Full-time,2026-03-05
Data Scientist,Flipkart,Bangalore,"Python,Statistics,Machine Learning,SQL",1700000,3-5 years,Full-time,2026-03-07
AI Engineer,Cognizant,Chennai,"Python,TensorFlow,NLP,Deep Learning",1500000,2-4 years,Full-time,2026-03-10
